when was Putin born?;7 October 1952
Who is Putin?;Russian politician serving as the current President of Russia
Where was Putin born?;in Leningrad in the Soviet Union
How many years has Putin served in the KGB?;Putin was a KGB foreign intelligence officer for 16 years
who were the parents of Putin?;Vladimir Spiridonovich Putin (1911–1999) and Maria Ivanovna Putina (née Shelomova; 1911–1998)
What was Putin's first post in the administration of Sobchak?;Putin was appointed as an advisor on international affairs to the Mayor of Leningrad Anatoly Sobchak.
when and why did Putin move to Moscow?;In June 1996 Sobchak lost his bid for reelection in Saint Petersburg, so Putin moved to Moscow
when and where Putin defended his Candidate of Science dissertation?;On 27 June 1997, at the Saint Petersburg Mining Institute
candidate of which sciences is Putin?;Putin defended his Candidate of Science dissertation in economics
what was the title of the dissertation of Putin?;The Strategic Planning of Regional Resources Under the Formation of Market Relations
when Putin was appointed director of the FSB?;On 25 July 1998
Who appointed Putin as FSB director?;Yeltsin appointed Putin as Director of the Federal Security Service (FSB)
What happened on August 9, 1999 in Putin's career?;On 9 August 1999, Putin was appointed one of three First Deputy Prime Ministers, and later on that day, was appointed acting Prime Minister of the Government of the Russian Federation by President Yeltsin.
whom did Yeltsin want to see as his successor?;Yeltsin also announced that he wanted to see Putin as his successor.
when Putin became the president of the Russian Federation for the first time?;On 31 December 1999
what was the first big challenge for Putin's popularity?;The first major challenge to Putin's popularity came in August 2000, when he was criticized for the alleged mishandling of the Kursk submarine disaster.
When was a referendum held in Chechnya?;In 2003
What percentage of votes did Putin receive during the second presidential term?;Putin was elected to the presidency for a second term, receiving 71% of the vote.
Why did Putin not go to the third presidential term?;Putin was barred from a third term by the Constitution.
How in the media called the replacement of Medvedev as president by Putin?;This switch was termed by many in the media as "Rokirovka", the Russian term for the chess move "castling".
When and why did President Putin authorize Russia's intervention in the Syrian civil war?;On 30 September 2015, President Putin authorized Russian military intervention in the Syrian Civil War, following a formal request by the Syrian government for military help against rebel and jihadist groups.
Who won the presidential election in 2018 in Russia?;Putin won the 2018 presidential election with more than 76% of the vote.
What oligarchs opposed Putin during his first term?such people as Boris Berezovsky, Vladimir Gusinsky, and Mikhail Khodorkovsky
What was the reason that the economy grew by an average of 7% per year from 2000 to 2007?;Fueled by the 2000s commodities boom including record high oil prices
How did russia diversify the oil export market?;Russia diversified its export markets by building the Trans-Siberian oil pipeline to the markets of China, Japan and Korea, as well as the Sakhalin–Khabarovsk–Vladivostok gas pipeline in the Russian Far East.
What was the cause of the crisis that began in the second half of 2014?;decline in the price of oil and international sanctions against Russia
What are the traditional religions defined in Russia by law?;Buddhism, Eastern Orthodox Christianity, Islam, and Judaism
Who is head of the Russian Orthodox Church?;Patriarch Kirill of Moscow
when did Russia win the right to host the Winter Olympics and the Winter Paralympics?;In 2007
when did Russia win the right to host the FIFA Confederations Cup and FIFA World Cup?;2 December 2010
When was a strategic partnership agreement signed between India and Russia?;in October 2000
when the Eurasian Union was created?;The Eurasian Union was established on 1 January 2015.
when did Russia have the first opportunity for cooperation with the US?;after the 9/11 attacks
when and why relations between Russia and Britain deteriorated?;In 2003, relations between Russia and the United Kingdom deteriorated when the United Kingdom granted political asylum to Putin's former patron, oligarch Boris Berezovsky.
Who is Sergei Skripal?;former double agent
Why are there very warm relations between Russia and Venezuela?;Much of this has been through the sale of military equipment
When did Putin first visit Iran?;On 16 October 2007
What was the rating of Putin's support after the annexation of the Crimea?;Putin's approval rating had rebounded to 85.9%
What do Russians say about the state of the national and local economy?;Just 14% of Russians in 2016 said their national economy was getting better, and 18% said this about their local economies.
How many dogs does Putin have?;Putin has three dogs, Buffy, Yume, and Verni.
